"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"28756","ZCTA5 28756",197,304,332,172
"28757","ZCTA5 28757",0,0,0,2
"28758","ZCTA5 28758",0,0,0,0
"28759","ZCTA5 28759",382,367,553,304
"28761","ZCTA5 28761",489,304,407,202
"28762","ZCTA5 28762",182,231,333,136
"28763","ZCTA5 28763",169,212,24,119
"28766","ZCTA5 28766",33,50,86,16
"28768","ZCTA5 28768",508,224,366,148
"28770","ZCTA5 28770",0,0,0,0
"28771","ZCTA5 28771",213,264,546,288
"28772","ZCTA5 28772",70,136,41,116
"28773","ZCTA5 28773",222,84,220,81
"28774","ZCTA5 28774",0,31,58,23
"28775","ZCTA5 28775",131,58,0,2
"28777","ZCTA5 28777",520,551,326,276
"28778","ZCTA5 28778",672,1073,359,135
"28779","ZCTA5 28779",795,1145,1101,750
"28781","ZCTA5 28781",10,33,0,31
"28782","ZCTA5 28782",150,287,182,113
"28783","ZCTA5 28783",160,110,150,176
"28785","ZCTA5 28785",168,223,686,387
"28786","ZCTA5 28786",798,1341,948,715
"28787","ZCTA5 28787",952,891,1310,712
"28788","ZCTA5 28788",9,25,12,16
"28789","ZCTA5 28789",353,406,311,195
"28790","ZCTA5 28790",56,202,122,179
"28791","ZCTA5 28791",607,526,810,558
"28792","ZCTA5 28792",1527,1665,2213,1562
"28801","ZCTA5 28801",433,409,476,318
"28803","ZCTA5 28803",1778,1724,1571,1300
"28804","ZCTA5 28804",1033,1101,903,642
"28805","ZCTA5 28805",748,1068,985,463
"28806","ZCTA5 28806",2228,2283,2124,2271
"28901","ZCTA5 28901",160,275,459,212
"28902","ZCTA5 28902",51,33,26,0
"28904","ZCTA5 28904",510,453,498,356
"28905","ZCTA5 28905",321,29,245,143
"28906","ZCTA5 28906",586,669,845,671
"28909","ZCTA5 28909",0,0,5,0
"29001","ZCTA5 29001",168,45,212,116
"29003","ZCTA5 29003",170,272,260,190
"29006","ZCTA5 29006",354,601,742,307
"29009","ZCTA5 29009",124,87,187,70
"29010","ZCTA5 29010",631,521,851,460
"29014","ZCTA5 29014",43,64,27,56
"29015","ZCTA5 29015",67,60,28,8
"29016","ZCTA5 29016",1828,1911,2199,1256
"29018","ZCTA5 29018",197,149,267,278
"29020","ZCTA5 29020",1461,1218,1108,1120
"29030","ZCTA5 29030",140,97,62,31
"29031","ZCTA5 29031",64,91,68,61
"29032","ZCTA5 29032",355,201,399,151
"29033","ZCTA5 29033",731,710,635,268
